sentence_id,words,labels
87,GPS,B-FNC
87,Position,O
87,Mismatch,O
88,Landing,B-FNC
88,Protection,I-FNC
88,Activated,O
88,Aircraft,B-CMP
88,will,O
88,decelerate,O
88,during,O
88,landing,B-ACT
89,Taking,B-ACT
89,Off,I-ACT
90,GPS,B-FNC
90,Position,O
90,Mismatch,O
91,Home,O
91,Point,O
91,Recorded,O
91,RTH,B-ACT
91,Altitude,O
91,30m,O
92,GPS,B-FNC
92,Position,O
92,Mismatch,O
93,Switched,O
93,to,O
93,S,B-STE
93,Sport,B-STE
94,Mobile,O
94,device,O
94,CPU,B-CMP
94,fully,O
94,loaded,O
94,Related,O
94,performance,O
94,will,O
94,be,O
94,affected,O
95,Aircraft,B-CMP
95,is,O
95,returning,O
95,to,O
95,the,O
95,Home,O
95,Point,O
95,RTH,B-ACT
95,Altitude,O
95,is,O
95,30m,O
95,You,O
95,can,O
95,reset,O
95,the,O
95,RTH,B-ACT
95,Altitude,O
95,in,O
95,Remote,O
95,Controller,B-CMP
95,Settings,B-FNC
95,after,O
95,cancelling,O
95,RTH,B-ACT
95,if,O
95,necessary,O
96,Switched,O
96,to,O
96,S,B-STE
96,Sport,B-STE
96,Mode,I-STE
97,Landing,B-CMP
97,Gear,I-CMP
97,Lowering,B-ACT
98,Home,O
98,Point,O
98,Updated,O
99,GPS,B-FNC
99,Position,O
99,Mismatch,O
100,Home,O
100,Point,O
100,Recorded,O
100,RTH,B-ACT
100,Altitude,O
100,30m,O
101,Data,O
101,Recorder,O
101,File,O
101,Index,O
101,is,O
101,7,O
102,GPS,B-FNC
102,Position,O
102,Mismatch,O
103,Attitude,O
103,is,O
103,too,O
103,large,O
104,Attitude,O
104,is,O
104,too,O
104,large,O
105,GPS,B-FNC
105,Position,O
105,Mismatch,O
106,GPS,B-FNC
106,Position,O
106,Mismatch,O
107,GPS,B-FNC
107,Position,O
107,Mismatch,O
108,GPS,B-FNC
108,Position,O
108,Mismatch,O
109,Your,O
109,palm,O
109,is,O
109,too,O
109,far,O
109,away,O
109,from,O
109,the,O
109,aircraft,B-CMP
109,Please,O
109,step,O
109,closer,O
110,GPS,B-FNC
110,Position,O
110,Mismatch,O
111,GPS,B-FNC
111,Position,O
111,Mismatch,O
112,Taking,B-ACT
112,Off,I-ACT
113,Obstacle,B-FNC
113,Sensing,I-FNC
113,will,O
113,be,O
113,disabled,O
113,when,O
113,aircraft,B-CMP
113,is,O
113,landing,B-ACT
113,Fly,O
113,with,O
113,caution,O
114,Home,O
114,Point,O
114,Recorded,O
114,RTH,B-ACT
114,Altitude,O
114,30m,O
115,Tip,O
115,Aircraft,B-CMP
115,reached,O
115,maximum,B-ISS
115,distance,I-ISS
115,please,I-ISS
115,pay,O
115,attention,O
115,to,O
115,flight,O
115,safety,O
116,Drag,O
116,a,O
116,box,O
116,around,O
116,or,O
116,tap,O
116,a,O
116,target,O
116,on,O
116,screen,O
116,Then,O
116,tap,O
116,Go,O
117,GPS,B-FNC
117,Position,O
117,Mismatch,O
118,GPS,B-FNC
118,Position,O
118,Mismatch,O
119,In,O
119,Flight,O
120,GPS,B-FNC
120,Position,O
120,Mismatch,O
121,Taking,B-ACT
121,Off,I-ACT
122,Home,O
122,Point,O
122,Updated,O
123,Command,O
123,Timeout,O
124,Forward,O
124,Obstacle,B-FNC
124,Sensing,I-FNC
124,not,O
124,Responding,O
125,In,B-STE
125,Flight,I-STE
126,Tap,O
126,the,O
126,screen,O
126,to,O
126,focus,O
127,GPS,B-FNC
127,Position,O
127,Mismatch,O
128,GPS,B-FNC
128,Position,O
128,Mismatch,O
129,Attitude,O
129,is,O
129,too,O
129,large,O
130,Tap,O
130,the,O
130,screen,O
130,lightly,O
130,to,O
130,focus,O
131,Tap,O
131,the,O
131,screen,O
131,lightly,O
131,to,O
131,focus,O
132,GPS,B-FNC
132,Position,O
132,Mismatch,O
133,Fly,O
133,with,O
133,caution,O
133,and,O
133,ensure,O
133,the,O
133,aircraft,B-CMP
133,remains,O
133,within,O
133,your,O
133,line,O
133,of,O
133,sight,O
134,GPS,B-FNC
134,Position,O
134,Mismatch,O
135,GPS,B-FNC
135,Position,O
135,Mismatch,O
136,GPS,B-FNC
136,Position,O
136,Mismatch,O
137,Aircraft,B-CMP
137,close,O
137,to,O
137,Home,O
137,Point,O
137,shifts,O
137,to,O
138,Home,O
138,Point,O
138,Recorded,O
138,RTH,B-ACT
138,Altitude,O
138,30m,O
139,Landing,B-CMP
139,gear,I-CMP
139,Avoidance,O
139,Disabled,O
140,GPS,B-FNC
140,Position,O
140,Mismatch,O
141,Taking,B-ACT
141,Off,I-ACT
142,GPS,B-FNC
142,Position,O
142,Mismatch,O
143,GPS,B-FNC
143,Position,O
143,Mismatch,O
144,Taking,B-ACT
144,Off,I-ACT
145,Switched,O
145,to,O
145,T,B-STE
145,Tripod,I-STE
145,Mode,I-STE
146,Home,O
146,Point,O
146,recorded,O
146,ft,O
147,Attitude,O
147,is,O
147,too,O
147,large,O
148,GPS,B-FNC
148,Position,O
148,Mismatch,O
149,Home,O
149,Point,O
149,Recorded,O
149,RTH,B-ACT
149,Altitude,O
149,30m,O
150,GPS,B-FNC
150,Position,O
150,Mismatch,O
151,Taking,B-ACT
151,Off,I-ACT
152,GPS,B-FNC
152,Position,O
152,Mismatch,O
153,GPS,B-FNC
153,Position,O
153,Mismatch,O
154,Switched,O
154,to,O
154,T,B-STE
154,Tripod,B-STE
154,Mode,I-STE
155,GEO,O
155,You,O
155,are,O
155,in,O
155,a,O
155,Warning,B-ISS
155,Zone,I-ISS
155,School,O
155,Fly,O
155,with,O
155,caution,O
156,GPS,B-FNC
156,Position,O
156,Mismatch,O
157,Landing,B-CMP
157,gear,I-CMP
157,Avoidance,O
157,Disabled,O
158,Obstacle,B-FNC
158,Avoidance,I-FNC
158,will,O
158,be,O
158,disabled,O
158,in,O
158,landing,B-ACT
159,Weak,O
159,signal,O
159,Avoid,O
159,blocking,O
159,the,O
159,antennas,O
159,and,O
159,keep,O
159,the,O
159,antennas,O
159,parallel,O
159,to,O
159,and,O
159,facing,O
159,toward,O
159,the,O
159,aircraft,B-CMP
159,during,O
159,flight,O
160,GPS,B-FNC
160,Position,O
160,Mismatch,O
161,Tap,O
161,the,O
161,screen,O
161,to,O
161,focus,O
162,GPS,B-FNC
162,Position,O
162,Mismatch,O
163,GEO,I-STE
163,You,O
163,are,O
163,in,O
163,a,O
163,Warning,B-ISS
163,Zone,I-ISS
163,School,O
163,Fly,O
163,with,O
163,caution,O
164,Ground,O
164,Plain,O
164,Safe,O
164,to,O
164,Land,O
165,GPS,B-FNC
165,Position,O
165,Mismatch,O
166,Weak,O
166,signal,O
166,Avoid,O
166,blocking,O
166,the,O
166,antennas,O
166,and,O
166,keep,O
166,the,O
166,antennas,O
166,parallel,O
166,to,O
166,and,O
166,facing,O
166,toward,O
166,the,O
166,aircraft,B-CMP
166,during,O
166,flight,O
167,GPS,B-FNC
167,Position,O
167,Mismatch,O
168,Landing,B-CMP
168,gear,I-CMP
168,Avoidance,O
168,Disabled,O
169,Your,O
169,palm,O
169,is,O
169,too,O
169,far,O
169,away,O
169,from,O
169,the,O
169,aircraft,B-CMP
169,Please,O
169,step,O
169,closer,O
170,Home,O
170,Point,O
170,Updated,O
171,Attitude,O
171,is,O
171,too,O
171,large,O
172,High,O
172,wind,B-ISS
172,velocity,I-ISS
172,Fly,O
172,with,O
172,caution,O
172,and,O
172,land,O
172,in,O
172,a,O
172,safe,O
172,place,O
172,ASAP,O
173,GPS,B-FNC
173,Position,O
173,Mismatch,O
174,Home,O
174,Point,O
174,Updated,O
175,Taking,B-ACT
175,Off,I-ACT
176,GPS,B-FNC
176,Position,O
176,Mismatch,O
177,GPS,B-FNC
177,Position,O
177,Mismatch,O
178,GPS,B-FNC
178,Position,O
178,Mismatch,O
179,Switched,O
179,to,O
179,T,B-STE
179,Tripod,B-STE
179,Mode,I-STE
180,GPS,B-FNC
180,Position,O
180,Mismatch,O
181,Tip,O
181,Aircraft,B-CMP
181,reached,O
181,maximum,B-ISS
181,distance,I-ISS
181,please,O
181,pay,O
181,attention,O
181,to,O
181,flight,O
181,safety,O
182,GEO,O
182,You,O
182,are,O
182,in,O
182,a,O
182,Warning,B-ISS
182,Zone,I-ISS
182,School,O
182,Fly,O
182,with,O
182,caution,O
183,Home,O
183,Point,O
183,Recorded,O
183,RTH,B-ACT
183,Altitude,O
183,30m,O
184,Obstacle,B-FNC
184,Avoidance,I-FNC
184,will,O
184,be,O
184,disabled,O
184,in,O
184,landing,B-ACT
185,Compass,B-CMP
185,abnormalSolution,O
185,1,O
185,Ensure,O
185,there,O
185,are,O
185,no,O
185,magnets,O
185,or,O
185,metal,O
185,objects,O
185,near,O
185,the,O
185,aircraft,B-CMP
185,The,O
185,ground,O
185,or,O
185,walls,O
185,may,O
185,contain,O
185,metal,O
185,Move,O
185,away,O
185,from,O
185,sources,O
185,of,O
185,interference,B-ISS
185,before,O
185,attempting,O
185,flight,O
185,2,O
185,Calibrate,B-ACT
185,Compass,B-CMP
185,Before,O
185,Takeoff,O
186,GPS,B-FNC
186,Position,O
186,Mismatch,O
187,Max,B-ISS
187,Flight,I-ISS
187,Altitude,I-ISS
187,Reached,O
187,Adjust,O
187,in,O
187,Main,O
187,Controller,B-CMP
187,Settings,B-FNC
187,if,O
187,necessary,O
188,Fly,O
188,with,O
188,caution,O
188,and,O
188,ensure,O
188,the,O
188,aircraft,B-CMP
188,remains,O
188,within,O
188,your,O
188,line,O
188,of,O
188,sight,O
189,GPS,B-FNC
189,Position,O
189,Mismatch,O
190,GPS,B-FNC
190,Position,O
190,Mismatch,O
191,GPS,B-FNC
191,Position,O
191,Mismatch,O
192,Data,O
192,Recorder,O
192,File,O
192,Index,O
192,is,O
192,7,O
193,Data,O
193,Recorder,O
193,File,O
193,Index,O
193,is,O
193,15,O
194,GPS,B-FNC
194,Position,O
194,Mismatch,O
195,Taking,B-ACT
195,Off,I-ACT
196,GPS,B-FNC
196,Position,O
196,Mismatch,O
197,GPS,B-FNC
197,Position,O
197,Mismatch,O
198,GPS,B-FNC
198,Position,O
198,Mismatch,O
199,Max,B-ISS
199,Flight,I-ISS
199,Distance,I-ISS
199,Reached,O
199,Adjust,O
199,in,O
199,Main,O
199,Controller,B-CMP
199,Settings,B-FNC
199,if,O
199,necessary,O
200,GPS,B-FNC
200,Position,O
200,Mismatch,O
201,Downlink,B-CMP
201,Lost,O
202,GPS,B-FNC
202,Position,O
202,Mismatch,O
203,GPS,B-FNC
203,Position,O
203,Mismatch,O
204,GEO,O
204,You,O
204,are,O
204,in,O
204,a,O
204,Warning,B-ISS
204,Zone,I-ISS
204,School,O
204,Fly,O
204,with,O
204,caution,O
205,Home,O
205,Point,O
205,Updated,O
206,GPS,B-FNC
206,Position,O
206,Mismatch,O
207,GPS,B-FNC
207,Position,O
207,Mismatch,O
208,Data,O
208,Recorder,O
208,File,O
208,Index,O
208,is,O
208,15,O
209,Attitude,O
209,is,O
209,too,O
209,large,O
210,Obstacle,B-FNC
210,Avoidance,I-FNC
210,will,O
210,be,O
210,disabled,O
210,in,O
210,landing,B-ACT
211,Data,O
211,Recorder,O
211,File,O
211,Index,O
211,is,O
211,8,O
212,Tap,O
212,the,O
212,screen,O
212,lightly,O
212,to,O
212,focus,O
213,Remote,O
213,controller,B-CMP
213,assisted,O
213,takeoff,O
213,initiated,O
214,Data,O
214,Recorder,O
214,File,O
214,Index,O
214,is,O
214,45,O
215,Data,O
215,Recorder,O
215,File,O
215,Index,O
215,is,O
215,6,O
216,Landing,B-ACT
216,Canceled,O
217,Fly,O
217,with,O
217,caution,O
217,and,O
217,ensure,O
217,the,O
217,aircraft,B-CMP
217,remains,O
217,within,O
217,your,O
217,line,O
217,of,O
217,sight,O
218,SD,B-CMP
218,card,I-CMP
218,write,O
218,speed,O
218,is,O
218,too,O
218,slow,O
218,Not,O
218,suitable,O
218,for,O
218,shooting,O
218,a,O
218,4K,O
218,video,O
219,GPS,B-FNC
219,Position,O
219,Mismatch,O
220,Landing,B-CMP
220,Gear,I-CMP
220,Raising,B-ACT
221,GPS,B-FNC
221,Position,O
221,Mismatch,O
222,GPS,B-FNC
222,Position,O
222,Mismatch,O
223,Fly,O
223,with,O
223,caution,O
223,and,O
223,ensure,O
223,the,O
223,aircraft,B-CMP
223,remains,O
223,within,O
223,your,O
223,line,O
223,of,O
223,sight,O
224,Switched,O
224,to,O
224,P,B-STE
224,Positioning,B-STE
224,Mode,I-STE
225,GPS,B-FNC
225,Position,O
225,Mismatch,O
226,Obstacle,B-FNC
226,Avoidance,I-FNC
226,will,O
226,be,O
226,disabled,O
226,in,O
226,landing,B-ACT
227,GPS,B-FNC
227,Position,O
227,Mismatch,O
228,GPS,B-FNC
228,Position,O
228,Mismatch,O
229,Obstacle,B-FNC
229,Avoidance,I-FNC
229,will,O
229,be,O
229,disabled,O
229,in,O
229,landing,B-ACT
230,Locating,O
230,Landing,B-ACT
230,Point,O
231,Data,O
231,Recorder,O
231,File,O
231,Index,O
231,is,O
231,30,O
232,Switched,O
232,to,O
232,P,B-STE
232,Positioning,I-STE
232,Mode,I-STE
233,Tap,O
233,the,O
233,screen,O
233,lightly,O
233,to,O
233,focus,O
234,Strong,O
234,Interference,B-ISS
234,to,O
234,Aircraft,B-CMP
234,Signal,O
234,interruption,O
234,may,O
234,be,O
234,more,O
234,likely,O
234,Fly,O
234,with,O
234,caution,O
235,GPS,B-FNC
235,Position,O
235,Mismatch,O
236,Gimbal,B-CMP
236,Pitch,I-CMP
236,Limit,O
236,Reached,O
237,In,B-STE
237,Flight,I-STE
238,Landing,B-ACT
239,GPS,B-FNC
239,Position,O
239,Mismatch,O
240,Tap,O
240,the,O
240,screen,O
240,lightly,O
240,to,O
240,focus,O
241,GPS,B-FNC
241,Position,O
241,Mismatch,O
242,GPS,B-FNC
242,Position,O
242,Mismatch,O
243,GPS,B-FNC
243,Position,O
243,Mismatch,O
244,GPS,B-FNC
244,Position,O
244,Mismatch,O
245,GPS,B-FNC
245,Position,O
245,Mismatch,O
246,Obstacle,O
246,Avoided,B-ACT
246,Revise,O
246,Flight,O
246,Route,O
247,Taking,B-ACT
247,Off,I-ACT
248,Home,O
248,Point,O
248,Recorded,O
248,RTH,B-ACT
248,Altitude,O
248,ÃÂ,O
248,30m,O
249,GPS,B-FNC
249,Position,O
249,Mismatch,O
250,Ground,O
250,Plain,O
250,Safe,O
250,to,O
250,Land,O
251,Maximum,B-ISS
251,flight,I-ISS
251,distance,I-ISS
251,reached,O
251,Adjust,O
251,the,O
251,distance,O
251,in,O
251,MC,O
251,Settings,B-FNC
251,if,O
251,required,O
252,Max,B-ISS
252,Flight,I-ISS
252,Distance,I-ISS
252,Reached,O
252,Adjust,O
252,in,O
252,Main,O
252,Controller,B-CMP
252,Settings,B-FNC
252,if,O
252,necessary,O
253,Fly,O
253,with,O
253,caution,O
253,and,O
253,ensure,O
253,the,O
253,aircraft,B-CMP
253,remains,O
253,within,O
253,your,O
253,line,O
253,of,O
253,sight,O
254,GPS,B-FNC
254,Position,O
254,Mismatch,O
255,Switched,O
255,to,O
255,P,B-STE
255,Positioning,B-STE
255,Mode,I-STE
256,Data,O
256,Recorder,O
256,File,O
256,Index,O
256,is,O
256,9,O
257,Palm,B-FNC
257,Control,I-FNC
257,in,O
257,Process,O
258,Maximum,B-ISS
258,flight,I-ISS
258,distance,I-ISS
258,reached,O
258,Adjust,O
258,the,O
258,distance,O
258,in,O
258,MC,O
258,Settings,B-FNC
258,if,O
258,required,O
259,Landing,B-ACT
260,Taking,B-ACT
260,Off,I-ACT
261,GPS,B-FNC
261,Position,O
261,Mismatch,O
262,Strong,O
262,Interference,B-ISS
262,to,O
262,Aircraft,B-CMP
262,Signal,O
262,interruption,O
262,may,O
262,be,O
262,more,O
262,likely,O
262,Fly,O
262,with,O
262,caution,O
263,Landing,B-CMP
263,Gear,I-CMP
263,Raised,B-ACT
264,GPS,B-FNC
264,Position,O
264,Mismatch,O
265,Large,O
265,Wind,B-ISS
265,Velocity,I-ISS
266,Tap,O
266,the,O
266,screen,O
266,lightly,O
266,to,O
266,focus,O
267,Max,B-ISS
267,Flight,I-ISS
267,Altitude,I-ISS
267,Reached,O
267,Adjust,O
267,in,O
267,Main,O
267,Controller,B-CMP
267,Settings,B-FNC
267,if,O
267,necessary,O
268,GPS,B-FNC
268,Position,O
268,Mismatch,O
269,Home,O
269,Point,O
269,Recorded,O
269,RTH,B-ACT
269,Altitude,O
269,30m,O
270,Obstacle,B-FNC
270,Avoidance,I-FNC
270,disabled,O
270,Landing,B-CMP
270,gear,I-CMP
270,lowered,B-ACT
270,Obstacle,B-FNC
270,Avoidance,I-FNC
270,has,O
270,been,O
270,disabled,O
271,GPS,B-FNC
271,Position,O
271,Mismatch,O
272,Home,O
272,Point,O
272,Updated,O
273,Taking,B-ACT
273,Off,I-ACT
274,GPS,B-FNC
274,Position,O
274,Mismatch,O
275,Your,O
275,palm,O
275,is,O
275,too,O
275,close,O
275,to,O
275,the,O
275,aircraft,B-CMP
275,Please,O
275,step,O
275,farther,O
275,away,O
276,GPS,B-FNC
276,Position,O
276,Mismatch,O
277,Not,O
277,Allowed,O
277,to,O
277,change,O
277,Aircraft,B-CMP
277,Mode,O
277,If,O
277,needed,O
278,GPS,B-FNC
278,Position,O
278,Mismatch,O
279,Max,B-ISS
279,Flight,I-ISS
279,Distance,I-ISS
279,Reached,O
279,Adjust,O
279,in,O
279,Main,O
279,Controller,B-CMP
279,Settings,B-FNC
279,if,O
279,necessary,O
280,GPS,B-FNC
280,Position,O
280,Mismatch,O
281,Tip,O
281,Aircraft,B-CMP
281,reached,O
281,maximum,B-ISS
281,distance,I-ISS
281,please,O
281,pay,O
281,attention,O
281,to,O
281,flight,O
281,safety,O
282,GPS,B-FNC
282,Position,O
282,Mismatch,O
283,GPS,B-FNC
283,Position,O
283,Mismatch,O
284,GPS,B-FNC
284,Position,O
284,Mismatch,O
285,Max,B-ISS
285,Flight,I-ISS
285,Distance,I-ISS
285,Reached,O
285,Adjust,O
285,in,O
285,Main,O
285,Controller,B-CMP
285,Settings,B-FNC
285,if,O
285,necessary,O
286,Max,B-ISS
286,Flight,I-ISS
286,Altitude,I-ISS
286,Reached,O
286,Adjust,O
286,in,O
286,Main,O
286,Controller,B-CMP
286,Settings,B-FNC
286,if,O
286,necessary,O
287,GPS,B-FNC
287,Position,O
287,Mismatch,O
288,Taking,B-ACT
288,Off,I-ACT
289,GPS,B-FNC
289,Position,O
289,Mismatch,O
290,Obstacle,B-FNC
290,Avoidance,I-FNC
290,will,O
290,be,O
290,disabled,O
290,in,O
290,landing,B-ACT
291,Attitude,O
291,is,O
291,too,O
291,large,O
292,Home,O
292,Point,O
292,Recorded,O
292,RTH,B-ACT
292,Altitude,O
292,30m,O
293,GPS,B-FNC
293,Position,O
293,Mismatch,O
294,Data,O
294,Recorder,O
294,File,O
294,Index,O
294,is,O
294,57,O
295,Home,O
295,Point,O
295,Recorded,O
295,RTH,B-ACT
295,Altitude,O
295,30m,O
296,Large,O
296,Wind,B-ISS
296,Velocity,I-ISS
297,High,O
297,wind,B-ISS
297,velocity,I-ISS
297,Ensure,O
297,the,O
297,aircraft,B-CMP
297,remains,O
297,within,O
297,your,O
297,line,O
297,of,O
297,sight,O
297,and,O
297,fly,O
297,with,O
297,caution,O
298,Landing,B-ACT
298,Canceled,O
299,Palm,B-FNC
299,Control,I-FNC
299,in,O
299,Process,O
300,High,O
300,wind,B-ISS
300,velocity,I-ISS
300,Ensure,O
300,the,O
300,aircraft,B-CMP
300,remains,O
300,within,O
300,your,O
300,line,O
300,of,O
300,sight,O
300,and,O
300,fly,O
300,with,O
300,caution,O
301,GPS,B-FNC
301,Position,O
301,Mismatch,O
